sadness,anger,fear,disgust,joy,sadness_dich,anger_dich,fear_dich,disgust_dich,joy_dich
0.162649314,0.137207135,0.065899978,0.014342409,0.178079577,1,1,1,0,1
0.154199882,0.162913473,0.061809284,0.017641181,0.145685941,0,1,0,0,1
0.134368751,0.13100752,0.057596451,0.027221833,0.177402282,0,1,0,0,1
0.185977421,0.068172278,0.045903557,0.018429645,0.205039033,1,1,0,0,1
0.177834645,0.042975073,0.031070857,0.039012264,0.226750168,1,0,0,1,1
0.170860059,0.042546153,0.032809877,0.034617247,0.207579456,1,0,0,1,1
0.184493025,0.058852011,0.043456104,0.028908032,0.178744849,1,1,0,0,1
0.190994595,0.063588698,0.048223794,0.031121939,0.163620264,1,1,0,0,1
0.191208171,0.074833135,0.042992222,0.030447046,0.174237535,1,1,0,0,1
0.181099308,0.07248862,0.045535242,0.026892252,0.18326267,1,1,0,0,1
0.171063201,0.050674668,0.047175962,0.031748532,0.172075243,1,0,0,0,1
0.164787175,0.049246064,0.051214284,0.031885696,0.167654263,1,0,0,0,1
0.156959134,0.051518666,0.051964161,0.031262114,0.154152625,0,0,0,0,1
0.151600779,0.051555548,0.05790632,0.031652825,0.140185714,0,0,0,0,0
0.159715026,0.063084845,0.058703111,0.03861274,0.146983255,0,1,0,1,1
0.156989827,0.058136244,0.050276602,0.035253221,0.163393665,0,1,0,1,1
0.162763138,0.059700055,0.046286196,0.03628535,0.160976114,1,1,0,1,1
0.161302071,0.061829709,0.04501395,0.040256129,0.165857794,0,1,0,1,1
0.156892674,0.057666989,0.043016978,0.039017785,0.166048132,0,1,0,1,1
0.158615624,0.051542141,0.043068972,0.037637762,0.1725887,0,0,0,1,1
0.155294999,0.04453081,0.052056224,0.034638444,0.165590201,0,0,0,1,1
0.17232416,0.045967335,0.058474173,0.039173662,0.161461308,1,0,0,1,1
0.167505503,0.058087129,0.058644235,0.036963264,0.16130239,1,1,0,1,1
0.177859498,0.053681392,0.050095748,0.039615036,0.162475712,1,0,0,1,1
0.163035532,0.057556262,0.047908914,0.036707305,0.152664556,1,1,0,1,1
0.176308685,0.048785083,0.056372308,0.045234728,0.162376524,1,0,0,1,1
0.168947736,0.045335941,0.049901001,0.038338836,0.159035881,1,0,0,1,1
0.174736957,0.055910952,0.047916733,0.043479388,0.16066993,1,1,0,1,1
0.169452493,0.050815887,0.038490539,0.036268742,0.164788843,1,0,0,1,1
0.172337902,0.049804893,0.041822031,0.044582834,0.144813346,1,0,0,1,1
0.163485497,0.047213278,0.043582025,0.043413255,0.143584697,1,0,0,1,1
0.168658848,0.050509197,0.049331439,0.043535517,0.140768114,1,0,0,1,0
0.163589845,0.047103054,0.041209803,0.041583653,0.152926866,1,0,0,1,1
0.148070173,0.049800713,0.048417837,0.029075279,0.157594022,0,0,0,0,1
0.161614421,0.053649843,0.041170814,0.035489087,0.150334234,0,0,0,1,1
0.167820545,0.049505913,0.04906979,0.03778955,0.150898089,1,0,0,1,1
0.163471327,0.058387661,0.045626948,0.035739181,0.143344921,1,1,0,1,1
0.171101292,0.057245743,0.039319398,0.041197882,0.142224693,1,1,0,1,1
0.178261483,0.050316651,0.034745451,0.05841242,0.151457846,1,0,0,1,1
0.179405382,0.051775531,0.040245751,0.048160367,0.151003284,1,0,0,1,1
0.176444318,0.056575792,0.03763921,0.040835581,0.143260128,1,1,0,1,1
0.17958746,0.042664872,0.039222567,0.03210245,0.134660745,1,0,0,0,0
0.166642292,0.058153965,0.041979803,0.038457008,0.150622317,1,1,0,1,1
0.174979992,0.05088368,0.035013292,0.034192588,0.142656216,1,0,0,1,1
0.169359467,0.04995019,0.037072708,0.03972802,0.136892118,1,0,0,1,0
0.186933011,0.055955321,0.051141772,0.035279373,0.136091337,1,1,0,1,0
0.163175881,0.040620071,0.052980903,0.027591418,0.153042432,1,0,0,0,1
0.158691044,0.05198488,0.039825817,0.033517604,0.1573425,0,0,0,1,1
0.177698142,0.05034773,0.045045679,0.034020893,0.141670307,1,0,0,1,0
0.200519247,0.050099846,0.048635199,0.034703104,0.141790451,1,0,0,1,0
0.163196846,0.048216745,0.034752795,0.034621002,0.15062254,1,0,0,1,1
0.169385121,0.054392968,0.04207543,0.040221975,0.155507691,1,1,0,1,1
0.168551981,0.050170781,0.044638627,0.032764049,0.155011186,1,0,0,0,1
0.176422785,0.049646572,0.047377301,0.037624765,0.135367653,1,0,0,1,0
0.16608327,0.052581411,0.056086798,0.032765292,0.151754907,1,0,0,0,1
0.167777741,0.055622672,0.037522777,0.034418028,0.143514235,1,1,0,1,1
0.16867207,0.04315287,0.040882267,0.032592193,0.153439828,1,0,0,0,1
0.16332917,0.044752523,0.052535219,0.029430642,0.137752386,1,0,0,0,0
0.154279419,0.041968045,0.051386476,0.023750007,0.1422284,0,0,0,0,1
0.167915238,0.046440891,0.050388523,0.032607113,0.150956266,1,0,0,0,1
0.182548205,0.054496705,0.044971004,0.036616013,0.153775619,1,1,0,1,1
0.181197007,0.056102704,0.0442354,0.032525717,0.151693325,1,1,0,0,1
0.171168553,0.059622919,0.064741389,0.041290888,0.153447877,1,1,1,1,1
0.182148581,0.067304408,0.042482032,0.029927008,0.167615622,1,1,0,0,1
0.185476246,0.053044267,0.05258993,0.035449144,0.166388417,1,0,0,1,1
0.167794152,0.057402239,0.060806005,0.0332192,0.156151786,1,1,0,0,1
0.183743881,0.077810392,0.077754054,0.044034236,0.131577435,1,1,1,1,0
0.1591048,0.06876511,0.047564588,0.039435771,0.178583742,0,1,0,1,1
0.158855307,0.048091503,0.066562562,0.034756919,0.136942264,0,0,1,1,0
0.184562842,0.051544018,0.073078977,0.03708569,0.152090322,1,0,1,1,1
0.178610285,0.059977452,0.049419374,0.034546363,0.138523104,1,1,0,1,0
0.161818293,0.039698627,0.046829497,0.02678473,0.172836633,0,0,0,0,1
0.1642975,0.059939586,0.043820321,0.029121007,0.154901791,1,1,0,0,1
0.178195247,0.073411173,0.061964934,0.048218137,0.132408314,1,1,1,1,0
0.172165758,0.069653992,0.05794766,0.036444078,0.173174512,1,1,0,1,1
0.178331806,0.071231342,0.064034144,0.036701065,0.136756842,1,1,1,1,0
0.150505624,0.073973688,0.054420886,0.039750658,0.148770734,0,1,0,1,1
0.161603211,0.088250375,0.064325335,0.024139243,0.159848873,0,1,1,0,1
0.167137834,0.063103341,0.050998028,0.030269046,0.159966037,1,1,0,0,1
0.161731683,0.04753578,0.056971179,0.029424748,0.133361183,0,0,0,0,0
0.133608667,0.059448216,0.075045505,0.026798324,0.149860311,0,1,1,0,1
0.157413241,0.070538195,0.062525605,0.034479627,0.154035132,0,1,1,1,1
0.171162362,0.057386543,0.062502767,0.033796168,0.140419974,1,1,1,1,0
0.149838675,0.074661863,0.058651863,0.030271354,0.153243892,0,1,0,0,1
0.178255542,0.067780531,0.07338339,0.034081819,0.126537079,1,1,1,1,0
0.176575861,0.04853119,0.076295778,0.031867772,0.122477987,1,0,1,0,0
0.161510505,0.053564201,0.062561554,0.034377141,0.123239918,0,0,1,1,0
0.172983765,0.045704765,0.067640333,0.032165641,0.134718941,1,0,1,0,0
0.147026239,0.053842852,0.049972718,0.026722528,0.198352415,0,1,0,0,1
0.124640503,0.050127565,0.046471483,0.027424687,0.183118769,0,0,0,0,1
0.122278987,0.040061448,0.047746851,0.038399338,0.181113279,0,0,0,1,1
0.127005306,0.042224777,0.069914484,0.029319076,0.174472682,0,0,1,0,1
0.165390726,0.03904126,0.091020404,0.025044651,0.179948966,1,0,1,0,1
0.134310553,0.047439553,0.047929914,0.034381072,0.154867079,0,0,0,1,1
0.138357424,0.048055277,0.062801503,0.030539023,0.166015684,0,0,1,0,1
0.134372827,0.038442222,0.076683333,0.031499981,0.132518049,0,0,1,0,0
0.172620055,0.048361653,0.077636558,0.019210307,0.173523281,1,0,1,0,1
